연도,시군구명,항목명,산출액,중간투입액,부가가치,고정자본소모,지역내순생산,기타생산세(기타생산보조금 공제),지역내요소소득,산출액(2015년 기준년 연쇄가격),부가가치(2015년 기준년 연쇄가격)
2018,포항시,총부가가치(기초가격),51988087,34623367,17364720,3922436,13442283,136922,13305361,48406839,16500553
2018,경주시,총부가가치(기초가격),27481061,17951110,9529951,2368409,7161541,87784,7073758,26778213,9456375
2018,김천시,총부가가치(기초가격),12488047,7251238,5236809,1167242,4069567,31792,4037775,11958259,4931668
2018,안동시,총부가가치(기초가격),8576472,3878528,4697944,1352494,3345449,26172,3319277,8229342,4439053
2018,구미시,총부가가치(기초가격),79449359,47442592,32006767,9527168,22479600,158525,22321075,80333626,29524795
2018,영주시,총부가가치(기초가격),7310641,4475915,2834726,623517,2211209,18539,2192669,6995026,2730213
2018,영천시,총부가가치(기초가격),9727557,6333545,3394013,781360,2612653,22095,2590558,9322348,3218850
2018,상주시,총부가가치(기초가격),4429810,2375014,2054795,487848,1566947,14183,1552764,4247802,1935673
2018,문경시,총부가가치(기초가격),3327520,1726606,1600915,385758,1215157,9587,1205570,3259021,1548504
2018,경산시,총부가가치(기초가격),19573890,12236791,7337099,1580161,5756938,75472,5681466,19131084,7141220
2018,군위군,총부가가치(기초가격),1832293,1057288,775005,189641,585364,6400,578964,1765898,736724
2018,의성군,총부가가치(기초가격),2408043,1172738,1235304,298674,936630,7445,929186,2292032,1136067
2018,청송군,총부가가치(기초가격),1121920,434012,687908,175458,512450,2319,510131,1099256,656292
2018,영양군,총부가가치(기초가격),625963,238757,387206,120844,266361,1306,265055,600283,358396
2018,영덕군,총부가가치(기초가격),1437642,692463,745178,187710,557469,4510,552958,1358208,700070
2018,청도군,총부가가치(기초가격),2004714,1030151,974563,240967,733596,7931,725664,1935439,919389
2018,고령군,총부가가치(기초가격),4086171,2675426,1410745,334063,1076682,9438,1067244,3873720,1322073
2018,성주군,총부가가치(기초가격),4480824,2755801,1725023,395443,1329580,10057,1319523,4409882,1689695
2018,칠곡군,총부가가치(기초가격),10962098,6934489,4027610,853333,3174276,31609,3142667,10626120,3894918
2018,예천군,총부가가치(기초가격),2147485,1003384,1144100,266340,877761,5994,871767,2030203,1048070
2018,봉화군,총부가가치(기초가격),2520671,1555886,964785,270901,693883,4434,689449,2369099,911223
2018,울진군,총부가가치(기초가격),5223104,3033788,2189316,719707,1469609,31842,1437767,5072893,2369562
2018,울릉군,총부가가치(기초가격),598464,293986,304478,86485,217993,1391,216602,568940,287758
2018,경상북도,총부가가치(기초가격),263801835,161172875,102628960,26335961,76292999,705747,75587252,256944213,97477510
2015,포항시,"농업, 임업 및 어업",483138,240004,243134,38006,205128,2972,202156,483138,243134
2015,경주시,"농업, 임업 및 어업",639905,312983,326922,49622,277300,4226,273073,639905,326922
2015,김천시,"농업, 임업 및 어업",481180,203178,278002,39087,238915,2743,236171,481180,278002
2015,안동시,"농업, 임업 및 어업",756390,311008,445382,61440,383942,4123,379819,756390,445382
2015,구미시,"농업, 임업 및 어업",361010,155898,205112,28158,176954,2182,174772,361010,205112
2015,영주시,"농업, 임업 및 어업",565967,240657,325310,46238,279073,3160,275912,565967,325310
2015,영천시,"농업, 임업 및 어업",512139,239277,272863,40351,232511,3261,229250,512139,272863
2015,상주시,"농업, 임업 및 어업",809545,338638,470907,64984,405923,4523,401400,809545,470907
2015,문경시,"농업, 임업 및 어업",474513,183718,290795,37149,253646,2528,251118,474513,290795
2015,경산시,"농업, 임업 및 어업",292282,131632,160650,22340,138310,1880,136430,292282,160650
2015,군위군,"농업, 임업 및 어업",271566,120174,151392,21482,129910,1629,128281,271566,151392
2015,의성군,"농업, 임업 및 어업",651296,264699,386597,54527,332069,3359,328710,651296,386597
2015,청송군,"농업, 임업 및 어업",286574,101601,184972,25385,159587,1177,158410,286574,184972
2015,영양군,"농업, 임업 및 어업",162302,52306,109995,14243,95752,604,95148,162302,109995
2015,영덕군,"농업, 임업 및 어업",362322,188445,173877,26960,146917,2533,144384,362322,173877
2015,청도군,"농업, 임업 및 어업",417035,160538,256497,34219,222278,2074,220203,417035,256497
2015,고령군,"농업, 임업 및 어업",266095,116429,149666,21682,127984,1520,126465,266095,149666
2015,성주군,"농업, 임업 및 어업",518901,201671,317230,44583,272648,2463,270185,518901,317230
2015,칠곡군,"농업, 임업 및 어업",201720,86949,114771,16513,98258,1160,97098,201720,114771
2015,예천군,"농업, 임업 및 어업",420292,175419,244872,34288,210584,2297,208287,420292,244872
2015,봉화군,"농업, 임업 및 어업",441557,171635,269922,37305,232616,2130,230487,441557,269922
2015,울진군,"농업, 임업 및 어업",178461,91378,87084,13836,73248,1115,72133,178461,87084
2015,울릉군,"농업, 임업 및 어업",33220,17738,15482,2398,13084,216,12868,33220,15482
2015,경상북도,"농업, 임업 및 어업",9587410,4105974,5481436,774799,4706637,53876,4652761,9587410,5481436
2016,포항시,"농업, 임업 및 어업",474818,234387,240431,39471,200960,268,201229,463108,251667
2016,경주시,"농업, 임업 및 어업",608155,299492,308663,49818,258845,373,259217,593165,294367
2016,김천시,"농업, 임업 및 어업",473001,203288,269713,41216,228497,255,228753,455619,242116
2016,안동시,"농업, 임업 및 어업",712545,300779,411766,60372,351393,386,351779,753013,410363
2016,구미시,"농업, 임업 및 어업",420286,176750,243536,36011,207525,225,207750,405522,218970
2016,영주시,"농업, 임업 및 어업",481928,216092,265836,41356,224481,268,224748,527476,277491
2016,영천시,"농업, 임업 및 어업",500776,236343,264433,41955,222478,296,222774,493015,242312
2016,상주시,"농업, 임업 및 어업",868316,361956,506360,73915,432445,460,432905,848427,461516
2016,문경시,"농업, 임업 및 어업",377192,158057,219134,32363,186772,199,186971,397247,217405
