"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"1","관광숙박업","03_11_01_P","5020000","CDFI2260032015000004","2015-06-04","","03","폐업","03","폐업","2017-03-27","","","","","","790-826","경상북도 포항시 남구 대잠동 928번지","경상북도 포항시 남구 새천년대로460번길 14 (대잠동)","37760","파티 게스트하우스","2017-03-28 14:27:17","I","2018-08-31 23:59:59","","411578.587378566","282043.583516965","관광숙박업","","근린상업지역","","","","","숙박시설","3","1","15","493","","","","","","","","","","149.66","","","","","","","","","","","","","150","호스텔업",
"2","관광숙박업","03_11_01_P","5020000","CDFI2260031987000001","1987-11-10","","03","폐업","03","폐업","2015-11-06","","","","054)242-2800","","791-080","경상북도 포항시 북구 중앙동 17번지","경상북도 포항시 북구 동빈로 9 (중앙동)","37738","선프린스호텔","2015-11-19 16:21:50","I","2018-08-31 23:59:59","","413376.894642739","284542.890285032","관광숙박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
"3","관광숙박업","03_11_01_P","5020000","CDFI2260031990000001","1990-06-20","","03","폐업","03","폐업","2008-01-16","","","","054-241-6001","","790-830","경상북도 포항시 남구 송도동 438-1번지","경상북도 포항시 남구 송도로 62  (송도동)","","(주)올림푸스관광호텔","2008-01-24 17:34:05","I","2018-08-31 23:59:59","","414249.495475761","284043.725642884","관광숙박업","관광사업","","9","","","","","8","1","","","","","","","","","","","","1800.5","","","","","","","","","","","","","1801","",
"4","관광숙박업","03_11_01_P","5020000","CDFI2260032004000001","2004-02-17","","03","폐업","03","폐업","2019-01-30","","","","054-250-2289","","","경상북도 포항시 북구 용흥동 198-2번지","경상북도 포항시 북구 죽파로 6 (용흥동)","37747","필로스관광호텔","2019-01-29 15:20:18","U","2019-01-31 02:40:00","","412401.207906665","283564.630870405","관광숙박업","관광사업","","12","","","","호텔","10","2","131","","","","","","","","","","","6987.34","","","","","","","","","","","","","6987","관광호텔업",
"5","관광숙박업","03_11_01_P","5020000","CDFI2260032006000001","2006-10-18","","03","폐업","03","폐업","2017-09-11","","","","054-262-5600","","","경상북도 포항시 북구 흥해읍 칠포리 197번지","경상북도 포항시 북구 흥해읍 해안로 1374","37530","파인비치관광호텔","2017-09-11 11:37:04","I","2018-08-31 23:59:59","","415722.304431119","295150.248023222","관광숙박업","관광사업","자연녹지지역","4","기타","","","호텔","3","1","","","","","","","","","","","","4194.5","","","","","","","","","8204000000","","","","4195","",
"6","관광숙박업","03_11_01_P","5020000","CDFI2260032009000001","2009-03-12","","03","폐업","03","폐업","2014-09-23","","","","070-7777-0077","","790-828","경상북도 포항시 남구 상도동 603-7번지","경상북도 포항시 남구 중흥로100번길 7-5  (상도동)","","(주)애플트리호텔","2014-09-24 09:10:24","I","2018-08-31 23:59:59","","411964.922241454","281836.701702121","관광숙박업","","상업지역","5","학교정화(상대)","","","숙박시설","5","1","","","","","","","","","","","","87935","","","","","","","","","370000000","","","","87935","",
"7","관광숙박업","03_11_01_P","5020000","CDFI2260032010000001","2010-12-31","","03","폐업","03","폐업","2017-03-21","","","","054)274-8300","","790-839","경상북도 포항시 남구 해도동 415-1번지","경상북도 포항시 남구 중앙로131번길 1 (해도동)","37775","스테이인호텔","2017-03-21 16:13:21","I","2018-08-31 23:59:59","","413352.246628523","283089.833251575","관광숙박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
"8","관광숙박업","03_11_01_P","5020000","CDFI2260032017000001","2017-01-26","","03","폐업","03","폐업","2019-06-04","","","","054 248 7555","","","경상북도 포항시 북구 신흥동","경상북도 포항시 북구 중앙상가7길 2 (신흥동)","37735","바나나모텔","2019-06-04 17:45:43","U","2019-06-06 02:40:00","","412989.334732914","284766.246777777","관광숙박업","","일반상업지역","4","","","","숙박시설","","","","","","","","","","","","","","714.62","","","","","","","","","","","","","715","호스텔업",
"9","관광숙박업","03_11_01_P","5020000","CDFI2260032024000002","2024-07-26","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 환호동 157-23","경상북도 포항시 북구 해안로445번길 20-15, 티베이호스텔 (환호동)","37598","티베이호스텔","2024-10-15 20:13:42","U","2024-10-17 02:40:00","","416738.665714095","288533.932286893","관광숙박업","","일반주거지역","3","기타","","","숙박시설","3","0","6","0","","","0","0","","0","0","","0","579.15","","0","","","","","","","600000000","","","","579","호스텔업",
"10","관광숙박업","03_11_01_P","5020000","CDFI2260032020000001","2020-02-06","","01","영업/정상","13","영업중","","","","","054-255-6000","","","경상북도 포항시 북구 장성동 1416-1 라우스데오","경상북도 포항시 북구 장량로127번길 6, 라우스데오 (장성동)","37587","라우스데오","2023-11-02 09:22:07","U","2023-11-04 02:40:00","","415621.228654588","289520.149599827","관광숙박업","","일반상업지역","5","","","농협손해보험주식회사","","5","0","29","0","","","0","0","","0","0","","0","165304","","0","","","","","","","0","","","","165304","소형호텔업",
"11","관광숙박업","03_11_01_P","5020000","CDFI2260032024000001","2024-05-07","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 대신동 62-29","경상북도 포항시 북구 대신로36번길 14 (대신동)","37724","영일대스테이","2024-12-11 19:07:46","U","2024-12-13 02:40:00","","413457.602003355","285557.716343456","관광숙박업","","","1","","","","","1","0","2","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"12","관광숙박업","03_11_01_P","5020000","CDFI2260031978000001","1978-08-20","","01","영업/정상","13","영업중","","","","","054-241-1401","","","경상북도 포항시 남구 송도동 311-2","경상북도 포항시 남구 송도로 71 (송도동, 코모도비취관광호텔)","37733","코모도호텔 포항 송도","2024-10-14 18:27:22","U","2024-10-16 02:40:00","","414213.342739996","284259.447537924","관광숙박업","관광사업","","0","","","","","0","0","46","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
