"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"1","박물관, 미술관","03_07_05_P","5020000","CDFE3231002018000001","2018-07-01","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 괴동동 1 포스코본사","경상북도 포항시 남구 동해안로 6261, 포스코본사 (괴동동)","37859","포스코역사박물관","2022-03-24 18:28:56","U","2024-10-11 02:40:00","","414746.879209873","280177.099734725","박물관","","20040323","사립","1종","전문박물관","","","0","","","","","",
"2","박물관, 미술관","03_07_05_P","5020000","CDFE3231002012000002","2012-08-23","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 호미곶면 대보리 293-1","경상북도 포항시 남구 호미곶면 해맞이로 136","","포항바다화석박물관","2022-03-29 00:00:00","U","2024-10-11 02:40:00","","431128.154338231","289282.012726792","박물관","","20091228","사립","1종","전문박물관","","","0","","","","","",
"3","박물관, 미술관","03_07_05_P","5020000","CDFE3231002017000012","1993-03-25","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 흥해읍 성내리 39-8","경상북도 포항시 북구 흥해읍 한동로 51-0  (영일민속박물관)","","영일민속박물관","2022-03-29 00:00:00","U","2024-10-11 02:40:00","","411286.188410137","292569.384993593","박물관","","19831029","공립","1종","전문박물관","","","0","","","","","",
"4","박물관, 미술관","03_07_05_P","5020000","CDFE3231002017000026","2004-03-23","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 괴동동 1-7","경상북도 포항시 남구 동해안로6213번길 14-0  (괴동동,포스코홍보센타)","","포스코역사박물관","2022-03-29 00:00:00","U","2024-10-11 02:40:00","","415188.138792192","280071.745074902","박물관","","20030703","사립","1종","전문박물관","","","0","","","","","",
"5","박물관, 미술관","03_07_05_P","5020000","CDFE3232002017000001","2011-08-18","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 환호동 351-0","경상북도 포항시 북구 환호공원길 10-0  (환호동,포항시립미술관)","","포항시립미술관","2022-03-29 00:00:00","U","2024-10-11 02:40:00","","415403.055954189","287735.875528489","미술관","","20091222","사립","1종","미술관","","","0","","","","","",
"6","박물관, 미술관","03_07_05_P","5020000","CDFE3231002017000038","2017-12-07","","01","영업/정상","13","영업중","","","","","","243.99","","경상북도 포항시 북구 송라면 중산리 622-0","경상북도 포항시 북구 송라면 보경로 523-0  (보경사)","","보경사성보박물관","2022-03-29 00:00:00","U","2024-10-11 02:40:00","","407186.870165201","309401.189806654","박물관","","20170503","사립","2종","전시관","","","0","","","","","",
"7","박물관, 미술관","03_07_05_P","6470000","B04012019000001","2019-09-03","","01","영업/정상","1","영업","","","","","","","","경상북도 칠곡군 기산면 죽전리 241번지 3호","경상북도 칠곡군 기산면 강정길 47-10, 1층 (안다미로귀때박물관)","","안다미로 귀때박물관","2019-09-06 17:42:44","U","2024-10-11 02:40:00","","324765.758752049","276829.936732635","박물관","","20130909","사립","2종","전시관","","","","","","","","",
"8","박물관, 미술관","03_07_05_P","6470000","B04012014000002","2014-03-31","","01","영업/정상","1","영업","","","","","","","","경상북도 상주시 도남동 산 3-4번지","경상북도 상주시 용마로 415 (도남동)","","상주자전거박물관","2018-02-23 11:02:22","U","2024-10-11 02:40:00","","312386.537054667","328887.979606035","박물관","","20021026","공립","1종","전문박물관","","","","","","","","",
"9","박물관, 미술관","03_07_05_P","6470000","B04012014000004","2014-04-10","","01","영업/정상","1","영업","","","","","","","","경상북도 영주시 풍기읍 창락리 452번지","경상북도 영주시 풍기읍 죽령로 1378","","인삼박물관","2018-02-23 11:02:41","U","2024-10-11 02:40:00","","331864.163424784","377074.333736374","박물관","","20130503","공립","1종","전문박물관","","","","0","","","","",
"10","박물관, 미술관","03_07_05_P","6470000","B04022017000002","1992-12-22","","01","영업/정상","1","영업","","","","","","","","경상북도 경주시 신평동 370번지 0호","경상북도 경주시 보문로 484-7 (신평동,경주힐튼호텔/선재현대미술관)","","우양미술관","2018-04-30 14:13:50","U","2024-10-11 02:40:00","","406465.878338666","262473.494405346","미술관","","19910518","사립","1종","미술관","","","","","","","","",
"11","박물관, 미술관","03_07_05_P","6470000","B04012020000001","2020-02-24","","01","영업/정상","1","영업","","","","","","","","경상북도 김천시 남면 봉천리 1816번지 2호","경상북도 김천시 남면 오봉로 717-0","","청솔수석박물관","2020-02-24 10:04:30","U","2024-10-11 02:40:00","","310158.184007203","293114.313928639","박물관","","19990401","사립","1종","전문박물관","","","","","","","","",
"12","박물관, 미술관","03_07_05_P","6470000","B04012020000002","2020-04-10","","01","영업/정상","1","영업","","","","","","","","경상북도 김천시 대항면 운수리 103번지 0호  1호","경상북도 김천시 대항면 직지사길 130-0, 1동 1층 1호 (김천시립박물관)","","김천시립박물관","2021-06-07 15:13:11","U","2024-10-11 02:40:00","","290677.439689938","291224.917887797","박물관","","20200410","공립","1종","전문박물관","","","","","","","","",
