"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","빙상장업","10_34_01_P","5020000","CDFH3301242004000001","2004-12-03","","03","폐업","03","폐업","2024-09-27","","","","054-242-0091","","791-852","경상북도 포항시 북구 장성동 1589-1","경상북도 포항시 북구 침촌마을길 36 (장성동)","37578","포항아이스링크","2024-09-27 09:14:42","U","2024-09-29 02:40:00","","414147.923890844","289281.485082271","빙상장업","사립","Y","0","1","4102.63","0","","",
"2","빙상장업","10_34_01_P","5020000","CDFH3301242005000001","2005-04-26","","03","폐업","03","폐업","2005-11-28","","","","","","791-260","경상북도 포항시 북구 장성동 39B4L","","","빙상장업","2005-11-28 11:10:50","I","2018-08-31 23:59:59","","","","빙상장업","사립","0","","","","","","",
"3","빙상장업","10_34_01_P","5020000","CDFH3301242017000001","2017-12-21","","03","폐업","03","폐업","2018-03-09","","","","","","","경상북도 포항시 남구 대도동 313-1번지 포항종합공설운동장","경상북도 포항시 남구 희망대로 810, 포항종합공설운동장 (대도동)","37832","포항 야외스케이트장","2018-03-09 09:37:23","I","2018-08-31 23:59:59","","413022.194347662","281328.462705442","빙상장업","사립","Y","1","","","","","",
"4","빙상장업","10_34_01_P","5020000","CDFH3301242019000001","2019-12-12","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 덕산동 122-4번지 극동방송 빌딩","경상북도 포항시 북구 용당로 164, 극동방송 빌딩 3층 301호 (덕산동)","37705","엔젤스아이스트레이닝센터","2019-12-12 17:16:38","I","2019-12-14 00:23:26","","413049.370351417","284940.400416262","빙상장업","사립","","","","5016.73","","","",
"5","빙상장업","10_34_01_P","5050000","CDFH3301242003000001","2003-08-20","","03","폐업","03","폐업","2005-11-25","","","","742-7422","","780-290","경상북도 경주시 신평동 351번지 서광프라자 지하1층","경상북도 경주시 천북남로 27  (신평동,서광프라자 지하1층)","","보문실내스케이트장","2005-11-28 17:31:34","I","2018-08-31 23:59:59","","406688.517991858","263005.809416893","빙상장업","사립","0","","","","","","",
"6","빙상장업","10_34_01_P","5050000","CDFH3301242012000001","2012-01-03","","03","폐업","03","폐업","2012-04-06","","","","054-772-2311","","780-130","경상북도 경주시 황성동 1017-1번지","","","황성스케이트장","2012-05-16 17:44:40","I","2018-08-31 23:59:59","","399330.888224078","264569.759500666","빙상장업","사립","Y","","","","","","",
"7","빙상장업","10_34_01_P","5050000","CDFH3301242020000001","2020-12-21","","03","폐업","03","폐업","2021-04-23","","","","061-763-1863","","","경상북도 경주시 황성동 1022-1","경상북도 경주시 황성공원로 29 (황성동)","38089","경주야외스케이트장","2021-04-23 18:22:20","U","2021-04-25 02:40:00","","399476.225360535","264526.575563331","빙상장업","사립","","1","","","","","",
"8","빙상장업","10_34_01_P","5080000","CDFH3301242003000001","2003-08-02","","01","영업/정상","13","영업중","","","","","054-451-8505","","730-050","경상북도 구미시 남통동 253","경상북도 구미시 금오산로 339 (남통동)","39309","금오아이스링크","2024-10-28 13:13:46","U","2024-10-30 02:40:00","","318445.839664313","291069.775747888","빙상장업","사립","Y","0","0","0","0","","",
"9","빙상장업","10_34_01_P","5130000","CDFH3301242014000001","2014-10-21","","03","폐업","03","폐업","2021-01-11","","","","053-811-1700","","712-882","경상북도 경산시 남천면 금곡리 668-14","경상북도 경산시 남천면 남천로 305-61","38696","경산스파월드","2021-01-11 16:13:53","U","2021-01-13 02:40:00","","356929.17840946","252553.184518251","빙상장업","사립","","","","","","","",
"10","빙상장업","10_34_01_P","5130000","CDFH3301242015000001","2015-01-07","","03","폐업","03","폐업","2015-02-23","","","","","","712-130","경상북도 경산시 대평동 370-23번지","","","(주)국제레져산업","2015-02-25 19:36:58","I","2018-08-31 23:59:59","","356361.777431093","260910.227607773","빙상장업","사립","Y","1","","","","","",
"11","빙상장업","10_34_01_P","5250000","CDFH3301242009000001","2009-12-14","","01","영업/정상","13","영업중","","","","","054-789-5511","","","경상북도 울진군 근남면 수산리 20","경상북도 울진군 근남면 친환경엑스포로 25 (엑스포공원)","36333","엑스포공원 야외 빙상장","2020-11-19 11:54:45","U","2020-11-21 02:40:00","","414127.537658591","388208.695773268","빙상장업","사립","","","","","","","",
