"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","수영장업","10_35_01_P","5020000","CDFH3301012004000001","2004-09-09","","03","폐업","03","폐업","2009-10-30","","","","","","790-824","경상북도 포항시 남구 대도동 315-1번지","","","포항실내수영장","2009-10-30 16:15:02","I","2018-08-31 23:59:59","","412847.946772626","281251.509050123","수영장업","사립","Y","","1","","","","",
"2","수영장업","10_35_01_P","5020000","CDFH3301012017000001","2017-08-11","","03","폐업","03","폐업","2019-02-20","","","","2521192","","","경상북도 포항시 북구 장성동 1365-2번지 지하1층","경상북도 포항시 북구 삼흥로 87, 지하1층 (장성동, 장성리치프라자)","37613","엘키즈풀","2019-02-20 17:49:01","U","2019-02-22 02:40:00","","414246.118934383","288082.78983002","수영장업","사립","","","","","","","",
"3","수영장업","10_35_01_P","5020000","CDFH3301012017000002","2017-12-11","","03","폐업","03","폐업","2022-08-10","","","","054-232-3637","","","경상북도 포항시 북구 용흥동 366 우방스포츠프라자, 4층","경상북도 포항시 북구 대안길 44, 우방스포츠프라자 4층 (용흥동)","37650","우방수영장","2022-08-10 15:28:05","U","2022-08-12 02:40:00","","411963.592737806","285048.296853377","수영장업","사립","Y","2","0","0","0","","",
"4","수영장업","10_35_01_P","5020000","CDFH3301012001000001","2001-01-26","","03","폐업","03","폐업","2004-02-03","","","","275-7100","","790-824","경상북도 포항시 남구 대도동 328-2번지","","","주은기획실내수영장","2004-02-03 10:48:25","I","2018-08-31 23:59:59","","413082.078428632","281134.113246029","수영장업","사립","0","","1","5158","","","",
"5","수영장업","10_35_01_P","5020000","CDFH3301012004000002","2004-10-13","","01","영업/정상","13","영업중","","","","","255-0019","","","경상북도 포항시 북구 우현동 0-1","경상북도 포항시 북구 새천년대로933번길 20 (우현동, 포항시여성문화회관)","37636","포항시여성문화관수영장","2022-10-18 14:28:33","U","2022-10-20 02:40:00","","412811.621679858","286517.002830682","수영장업","사립","","0","0","1214.48","0","","",
"6","수영장업","10_35_01_P","5020000","CDFH3301012009000001","2009-10-30","","01","영업/정상","13","영업중","","","","","274-0019","","790-824","경상북도 포항시 남구 대도동 325-2번지","경상북도 포항시 남구 희망대로 814 (대도동)","37832","포항실내수영장","2015-04-15 09:38:39","I","2018-08-31 23:59:59","","412893.820661624","281096.226033733","수영장업","사립","","2","","","","","",
"7","수영장업","10_35_01_P","5020000","CDFH3301012014000001","2014-06-03","","01","영업/정상","13","영업중","","","","","054-270-4391","","790-824","경상북도 포항시 남구 대도동 392-6번지 지1층","경상북도 포항시 남구 뱃머리길39번길 26, 지1층 (대도동)","37833","덕업관어린이수영장","2018-01-29 08:54:18","I","2018-08-31 23:59:59","","412447.775009355","280929.423270234","수영장업","사립","Y","1","1","","","","",
"8","수영장업","10_35_01_P","5020000","CDFH3301012018000001","2018-04-18","","01","영업/정상","13","영업중","","","","","0542539939","","","경상북도 포항시 북구 장성동 968-2","경상북도 포항시 북구 새천년대로 1138, 지하 1층 (장성동)","37615","아쿠아키즈&스포키즈","2023-12-26 09:52:49","U","2023-12-28 02:40:00","","413738.368193482","288113.767363921","수영장업","사립","Y","1","0","0","0","","",
"9","수영장업","10_35_01_P","5020000","CDFH3301012020000001","2020-07-17","","01","영업/정상","13","영업중","","","","","054-253-7775","","","경상북도 포항시 북구 양덕동 1252","경상북도 포항시 북구 장량로145번길 7 (양덕동)","37587","(주)워터베이","2021-10-01 15:43:09","U","2021-10-03 02:40:00","","415734.707444677","289541.235215619","수영장업","사립","Y","1","0","732.6","0","","",
"10","수영장업","10_35_01_P","5020000","CDFH3301012022000001","2022-11-24","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 용흥동 366 우방스포츠프라자","경상북도 포항시 북구 대안길 44, 우방스포츠프라자 3층 (용흥동)","37650","우방수영장","2024-02-26 18:15:51","U","2024-02-28 02:40:00","","411963.592737806","285048.296853377","수영장업","사립","","2","0","0","0","","",
"11","수영장업","10_35_01_P","5020000","CDFH3301012021000001","2021-02-26","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 오천읍 원리 1085","경상북도 포항시 남구 오천읍 원동로 109","37881","포항오천실내수영장","2021-02-26 15:13:58","I","2021-02-28 00:23:01","","416600.564414252","277397.828329013","수영장업","사립","","3","1","5664.95","","","",
"12","수영장업","10_35_01_P","5020000","CDFH3301012023000001","2023-10-05","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 대도동 65-20","경상북도 포항시 남구 상공로 184, 지하1층 (대도동)","37812","또수영","2024-03-25 17:04:19","U","2024-03-27 02:40:00","","413199.662799627","282738.422325513","수영장업","사립","","1","0","0","0","","",
"13","수영장업","10_35_01_P","5020000","CDFH3301012002000001","2002-08-02","","04","취소/말소/만료/정지/중지","35","직권말소","2018-12-13","","","","262-9933","","","경상북도 포항시 북구 신광면 반곡리 22-1번지","경상북도 포항시 북구 신광면 비학로 1386","37520","비학산원천테마랜드","2018-12-13 09:48:46","U","2018-12-15 02:40:00","","405489.167626137","299125.370808584","수영장업","사립","","","","468","","","",
"14","수영장업","10_35_01_P","5020000","CDFH3301012000000001","2000-08-10","","04","취소/말소/만료/정지/중지","35","직권말소","2018-12-13","","","","","","","경상북도 포항시 북구 흥해읍 용천리 735번지","경상북도 포항시 북구 흥해읍 칠포로 58","37531","미래스포션","2018-12-13 09:47:58","U","2018-12-15 02:40:00","","","","수영장업","사립","","","","787","","","",
"15","수영장업","10_35_01_P","5050000","CDFH3301012001000001","2001-10-26","","02","휴업","02","휴업","","2017-06-01","2022-05-31","","","","780-280","경상북도 경주시 북군동 11-1번지","경상북도 경주시 보문로 182-29 (북군동)","","(주)이랜드파크켄싱턴리조트경주실외수영장","2017-06-08 18:07:45","I","2018-08-31 23:59:59","","404841.798099653","264595.723082789","수영장업","사립","Y","","","","","","",
"16","수영장업","10_35_01_P","5050000","CDFH3301012003000002","2003-12-20","","02","휴업","02","휴업","","2012-08-27","2020-12-31","","054-744-1199","","780-290","경상북도 경주시 신평동 601-19번지","경상북도 경주시 보문로 365 (신평동)","780-290","일성경주보문콘도실내수영장","2019-06-28 14:06:07","U","2019-06-30 02:40:00","","406006.834843913","263329.635881051","수영장업","사립","Y","","","","","","",
"17","수영장업","10_35_01_P","5050000","CDFH3301012008000001","2008-04-07","","03","폐업","03","폐업","2021-01-05","","","","054-773-1009","","","경상북도 경주시 북군동 116","경상북도 경주시 보문로 280-34 (북군동)","38117","드림스포츠센터","2021-01-06 11:24:45","U","2021-01-08 02:40:00","","405480.091452187","263741.038597518","수영장업","사립","","","4","32814.09","","","",
"18","수영장업","10_35_01_P","5050000","CDFH3301012013000001","2013-08-02","","03","폐업","03","폐업","2013-10-23","","","","054-748-7900","","780-130","경상북도 경주시 황성동 432번지","경상북도 경주시 용담로 79-41 (황성동)","780-130","주)경도일보","2014-01-06 09:56:49","I","2018-08-31 23:59:59","","399644.88600357","264646.648979364","수영장업","사립","","","","","","","",
