"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","숙박업","03_11_03_P","5020000","5030000-214-2018-00002","2018-12-27","","01","영업/정상","01","영업","","","","","","586.65","790-826","경상북도 포항시 남구 대잠동 930-2번지 3~5층","경상북도 포항시 남구 희망대로659번길 53, 3~5층 (대잠동)","37760","다온빌딩","2018-12-27 15:33:03","I","2018-12-29 02:20:32","숙박업(생활)","411649.578635275","281959.240240798","숙박업(생활)","6","1","3","5","","","12","0","","","","자가","0","0","N",
"2","숙박업","03_11_03_P","5020000","5040000-201-2023-00001","2023-09-07","","01","영업/정상","01","영업","","","","","","187.92","791-070","경상북도 포항시 북구 여천동 63-1 2층","경상북도 포항시 북구 중앙로308번길 6-7, 2층 (여천동)","37736","포데로사블루게스트하우스","2023-09-07 11:02:37","I","2023-09-09 00:18:10","숙박업 기타","413296.384813053","284730.963785496","숙박업 기타","2","0","1","1","0","0","0","6","","","","임대","0","0","N",
"3","숙박업","03_11_03_P","5020000","5030000-214-2023-00004","2023-07-13","","01","영업/정상","01","영업","","","","","","754.53","790-812","경상북도 포항시 남구 호미곶면 구만리 36-1","경상북도 포항시 남구 호미곶면 해맞이로208번길 61","37928","아이세상","2023-07-13 13:57:35","I","2023-07-15 00:19:09","숙박업(생활)","430284.523014103","290130.122366992","숙박업(생활)","0","0","1","2","0","0","0","4","","","","","0","0","N",
"4","숙박업","03_11_03_P","5020000","5030000-201-2019-00001","2019-03-12","","01","영업/정상","01","영업","","","","","054 276 4660","673.71","790-801","경상북도 포항시 남구 구룡포읍 구룡포리 223-84번지 1~4층","경상북도 포항시 남구 구룡포읍 호미로 290-8, 1~4층","37933","호텔223","2019-03-12 16:07:51","I","2019-03-14 02:21:50","일반호텔","430936.033977757","279627.251700298","일반호텔","4","0","1","4","","","1","12","","","","","0","0","N",
"5","숙박업","03_11_03_P","5020000","5040000-214-2019-00001","2019-05-03","","01","영업/정상","01","영업","","","","","","569.00","791-921","경상북도 포항시 북구 청하면 청진리 282","경상북도 포항시 북구 청하면 해안로1922번길 4-6","37518","포항 씨클라우드 스파펜션","2024-12-08 12:29:16","U","2024-12-10 02:40:00","숙박업(생활)","415375.489455997","299700.638170024","숙박업(생활)","0","0","1","3","","","0","7","","","","","0","0","N",
"6","숙박업","03_11_03_P","5020000","5030000-214-2019-00001","2019-06-03","","01","영업/정상","01","영업","","","","","","588.75","790-812","경상북도 포항시 남구 호미곶면 구만리 476 1~3층 A동","경상북도 포항시 남구 호미곶면 구만길 178, A동","37928","비치드웨일 오션뷰풀빌라(카라반캠핑)","2024-12-10 11:32:49","U","2024-12-12 02:40:00","숙박업(생활)","429918.213580425","290111.324255544","숙박업(생활)","0","0","1","3","0","0","0","5","","","","","0","0","N",
"7","숙박업","03_11_03_P","5020000","5040000-214-2019-00003","2019-06-20","","01","영업/정상","01","영업","","","","","","569.25","791-921","경상북도 포항시 북구 청하면 청진리 29","경상북도 포항시 북구 청하면 해안로1918번길 85","37518","해피투게더","2024-12-08 12:30:00","U","2024-12-10 02:40:00","숙박업(생활)","415174.144484427","300350.596368389","숙박업(생활)","3","1","3","3","1","1","0","8","","","","자가","0","0","N",
"8","숙박업","03_11_03_P","5020000","5040000-201-2019-00001","2019-06-14","","01","영업/정상","01","영업","","","","","054 255 6000","1423.00","791-851","경상북도 포항시 북구 장성동 1416-1 라우스데오","경상북도 포항시 북구 장량로127번길 6, 라우스데오 1~4층 (장성동)","37587","라우스 데오","2021-03-08 11:02:05","U","2021-03-10 02:40:00","일반호텔","415621.228654588","289520.149599827","일반호텔","0","0","1","4","","","0","29","","","","","0","0","N",
"9","숙박업","03_11_03_P","5020000","5030000-214-2019-00002","2019-06-17","","01","영업/정상","01","영업","","","","","054 283 6533","606.67","790-932","경상북도 포항시 남구 장기면 대진리 191 2층","경상북도 포항시 남구 장기면 동해안로 3952-42, 2층","37943","190워터스테이","2024-01-16 10:53:46","U","2024-01-18 02:40:00","숙박업(생활)","427140.293841371","272513.651529563","숙박업(생활)","2","0","1","2","0","0","0","20","","","","자가","0","0","N",
"10","숙박업","03_11_03_P","5020000","5040000-214-2023-00001","2023-06-13","","01","영업/정상","01","영업","","","","","","998.41","791-120","경상북도 포항시 북구 항구동 17-129 1~6층","경상북도 포항시 북구 해안로 57-9, 1~6층 (항구동)","37708","풀빌라영일(Poolvilla_01)","2023-06-15 09:58:55","U","2023-06-17 02:40:00","숙박업(생활)","414067.093145407","286289.540877678","숙박업(생활)","6","0","1","6","0","0","0","10","","","","자가","0","0","N",
