"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","외국인관광도시민박업","03_11_04_P","5020000","CDFI2262212021000002","2021-11-24","","03","폐업","03","폐업","2024-05-08","","","","","","","경상북도 포항시 북구 대신동 62-29","경상북도 포항시 북구 대신로36번길 14 (대신동)","37724","영일대 옛사랑","2024-05-09 09:45:19","U","2024-05-11 02:40:00","","413457.602003355","285557.716343456","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"2","외국인관광도시민박업","03_11_04_P","5020000","CDFI2262212023000002","2023-01-30","","03","폐업","03","폐업","2024-10-31","","","","","","","경상북도 포항시 북구 장성동 1572-20","경상북도 포항시 북구 장량로32번길 86, 301호 (장성동)","37585","스테이포항","2024-12-03 09:01:41","U","2024-12-05 02:40:00","","414686.571982913","288681.221063091","외국인관광 도시민박업","","","0","","","","다가구용 주택(공동주택적용)","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","900000000","","","","0",
"3","외국인관광도시민박업","03_11_04_P","5020000","CDFI2262212022000005","2022-12-30","","03","폐업","03","폐업","2023-12-26","","","","","","","경상북도 포항시 북구 흥해읍 초곡리 1761 초곡삼구트리니엔 시티","경상북도 포항시 북구 흥해읍 초곡지구로58번길 52, 113동 803호 (초곡삼구트리니엔 시티)","37560","세현이네 가게","2024-03-18 19:03:15","U","2024-03-20 02:40:00","","410131.418688276","291234.009411197","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"4","외국인관광도시민박업","03_11_04_P","5020000","CDFI2262212021000001","2021-01-05","","03","폐업","03","폐업","2024-12-30","","","","","","","경상북도 포항시 남구 해도동 508-32","경상북도 포항시 남구 해동로72번길 20, 3층 302호 (해도동)","37793","초아홈","2024-12-30 13:18:13","U","2025-01-01 02:40:00","","413997.562882365","283238.017706407","외국인관광 도시민박업","","주거지역","","","","","","","","","","","","","","","","","","","49.34","","","","","","","","","","","","","49",
"5","외국인관광도시민박업","03_11_04_P","5020000","CDFI2262212023000007","2023-08-31","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 장성동 1355-8","경상북도 포항시 북구 삼흥로18번길 11 (장성동)","37611","온더웨이브하우스","2023-08-31 09:27:19","I","2023-09-02 00:18:46","","414410.668193608","287532.878403992","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","75.2","","0","","","","","","","0","","","","75",
"6","외국인관광도시민박업","03_11_04_P","5020000","CDFI2262212019000001","2019-06-04","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 연일읍 유강리 594번지 청구타운 101동 808호","경상북도 포항시 남구 연일읍 유강길 28, 101동 808호 (청구타운)","37655","yooriver guest house","2019-08-09 11:02:50","U","2019-08-11 02:40:00","","409063.981040794","280884.343180021","외국인관광 도시민박업","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","",
"7","외국인관광도시민박업","03_11_04_P","5020000","CDFI2262212023000006","2023-06-30","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 두호동 216-2 명사마을","경상북도 포항시 북구 삼호로 324-29, C동 202호 (두호동, 명사마을)","37612","Julia house","2023-06-30 09:51:44","I","2023-07-02 00:19:39","","414856.623059129","287633.535826376","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"8","외국인관광도시민박업","03_11_04_P","5020000","CDFI2262212019000002","2019-07-10","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 상원동 447-10번지","경상북도 포항시 북구 중앙로298번길 4-1, 3층 (상원동)","37736","포데로사 guest house","2019-08-09 11:03:25","U","2019-08-11 02:40:00","","413222.727316972","284684.508613933","외국인관광 도시민박업","","","3","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","",
"9","외국인관광도시민박업","03_11_04_P","5020000","CDFI2262212024000007","2024-09-27","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 환호동 492-16 환호빌라","경상북도 포항시 북구 삼호로501번길 2-7, 102호 (환호동, 환호빌라)","37601","foret","2024-09-27 15:02:53","I","2024-09-29 00:12:43","","415933.539921403","288466.661872865","외국인관광 도시민박업","","일반주거지역","0","","","","다세대주택","0","0","0","0","","","0","0","","0","0","","0","171.41","","0","","","","","","","0","","","","171",
"10","외국인관광도시민박업","03_11_04_P","5020000","CDFI2262212024000009","2024-10-16","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 대잠동 944-16","경상북도 포항시 남구 새천년대로422번길 17-3, 4층 502호 (대잠동)","37761","포항게스트하우스","2024-10-16 12:57:59","I","2024-10-18 00:12:54","","411438.053265726","281727.499640747","외국인관광 도시민박업","","일반상업지역","4","","","","다가구용 주택(공동주택적용)","4","0","0","0","","","0","0","","0","0","","0","143.23","","0","","","","","","","0","","","","143",
