"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","일반유원시설업","03_07_09_P","5020000","CDFI5271002020000002","2020-08-03","","02","휴업","02","휴업","","","","","","","","경상북도 포항시 남구 연일읍 중단리 58-1 외 49필지","","","형산강 야외 물놀이장","2024-11-18 09:44:44","U","2024-11-20 02:40:00","","410422.330320106","280430.083402956","허가유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"2","일반유원시설업","03_07_09_P","5020000","CDFI5271002012000001","2012-05-04","","03","폐업","03","폐업","2020-03-16","","","","","","791-030","경상북도 포항시 북구 대흥동 592-2번지","경상북도 포항시 북구 중앙상가1길 6 (대흥동)","37737","포항랜드","2020-03-23 18:32:21","U","2020-03-25 02:40:00","","412882.47304143","284315.38982975","허가유원시설업","","일반상업지역","1","","","","유기장","1","","","","","","","","","","","","","397.32","2","","Y","","Y","Y","","","","","","","397",
"3","일반유원시설업","03_07_09_P","5020000","CDFI5271002012000002","2012-06-29","","03","폐업","03","폐업","2013-05-01","","","","","","791-040","경상북도 포항시 북구 남빈동 580번지","경상북도 포항시 북구 중앙상가1길 7-8 (남빈동)","791-040","디스코팡팡","2013-05-01 09:36:23","I","2018-08-31 23:59:59","","412936.734479644","284339.509447096","허가유원시설업","","일반상업지역","2","기타","","","기타","2","0","","","","","","","","","","","","239.07","","","Y","","Y","Y","","","","","","","239",
"4","일반유원시설업","03_07_09_P","5020000","CDFI5271002012000005","2012-10-04","","03","폐업","03","폐업","2016-04-14","","","","","","791-120","경상북도 포항시 북구 항구동 17-129번지","경상북도 포항시 북구 해안로 57-9 (항구동)","791-120","포항북부비치랜드","2016-04-14 14:59:35","I","2018-08-31 23:59:59","","414067.093145407","286289.540877678","허가유원시설업","","","","","","","","","","","","","","","","","","","","","","디스코팡팡","","","","","","","","","","","","",
"5","일반유원시설업","03_07_09_P","5020000","CDFI5271002020000001","2020-04-17","","03","폐업","03","폐업","2024-05-20","","","","054-270-4883","","","경상북도 포항시 남구 연일읍 중단리 58-1 외 49필지","","","형산강 야외 물놀이장","2024-05-22 10:08:51","U","2024-05-24 02:40:00","","410422.330320106","280430.083402956","허가유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","일반유원시설업","03_07_09_P","5020000","CDFI5271002020000003","2020-08-03","","03","폐업","03","폐업","2024-05-20","","","","","","","경상북도 포항시 남구 연일읍 중단리 58-1 외 49필지","","","형산강 야외 물놀이장","2024-05-22 10:09:02","U","2024-05-24 02:40:00","","410422.330320106","280430.083402956","허가유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"7","일반유원시설업","03_07_09_P","5020000","CDFI5271002018000001","2018-05-04","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 남빈동 580","경상북도 포항시 북구 중앙상가1길 7-8 (남빈동)","37737","IN디팡","2024-08-07 10:27:28","U","2024-08-10 02:40:00","","412936.734479644","284339.509447096","허가유원시설업","","상업지역","0","기타","","","기타","0","0","0","0","","","0","0","","0","0","","0","0","타가다디스코 (1종,1대)","0","","","","","","","0","","","","0",
"8","일반유원시설업","03_07_09_P","5020000","CDFI5271002018000002","2018-08-24","","03","폐업","34","영업장폐쇄","2018-08-31","","","","","","790-190","경상북도 포항시 남구 해도동 537번지","","","KGS토탈스포츠","2020-04-12 13:44:58","U","2020-04-14 02:40:00","","413757.189551025","283782.238352664","허가유원시설업","","주거지역","","","","","","","","","","","","","","","","","","","","하이슬라이드1종-1대","","","","","","","","","","","","",
"9","일반유원시설업","03_07_09_P","5020000","CDFI5271002012000004","2012-05-14","","04","취소/말소/만료/정지/중지","35","직권말소","2018-06-08","","","","","","791-040","경상북도 포항시 북구 남빈동 580번지","경상북도 포항시 북구 중앙상가1길 7-8 (남빈동)","791-040","포항랜드","2020-03-09 15:02:31","U","2020-03-11 02:40:00","","412936.734479644","284339.509447096","허가유원시설업","","","","","","","","","","","","","","","","","","","","","","디스코팡팡. 4D 시물레이션","1","","","","","","","","","","","",
"10","일반유원시설업","03_07_09_P","5050000","CDFI5271002006000001","2006-12-29","","02","휴업","02","휴업","","2024-09-01","2025-09-30","","054-778-8302","","","경상북도 경주시 신평동 400-1 대명리조트","경상북도 경주시 보문로 402-12, 대명리조트 (신평동)","38117","소노인터내셔널","2024-09-29 13:16:00","U","2024-10-01 02:40:00","","406118.323266086","263079.41944442","허가유원시설업","유원시설업","자연녹지지역","0","기타","","","숙박시설","0","0","0","0","","","0","0","","0","0","","0","0","검사대상 4종 4기","5","Y","Y","Y","Y","","","0","","","","0",
