"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","자동차야영장업","03_11_05_P","5020000","CDFI2262142015000002","2015-09-23","","03","폐업","03","폐업","2017-12-08","","","","054 243 4040","","","경상북도 포항시 북구 송라면","경상북도 포항시 북구 송라면 보경로 175","37511","포항 보경사 농장체험 캠핑장","2017-12-08 15:30:30","I","2018-08-31 23:59:59","","","","자동차야영장업","","관리지역","","기타","","","근린생활시설","","","","","","","","","","","","","","7431","","","","","","","","","","","","","7431",
"2","자동차야영장업","03_11_05_P","5020000","CDFI2262142023000001","2023-06-14","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 구룡포읍 석병리 666","경상북도 포항시 남구 구룡포읍 땅끝마을길 47","37930","이스턴모스트캠핑","2023-11-17 09:25:31","U","2023-11-19 02:40:00","","432626.241565595","282749.722001231","자동차야영장업","","","0","","","SGI서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","5289","","0","","","","","","","0","","","","5289",
"3","자동차야영장업","03_11_05_P","5020000","CDFI2262142024000003","2024-11-13","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 죽장면 가사리 77","경상북도 포항시 북구 죽장면 죽장로 1086","37503","하늘숲 오토캠핑장","2024-11-28 09:54:50","U","2024-11-30 02:40:00","","395876.960367462","303344.940118802","자동차야영장업","","","0","","","DB손해보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"4","자동차야영장업","03_11_05_P","5020000","CDFI2262142024000002","2024-10-29","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 기계면 현내리 1094","경상북도 포항시 북구 기계면 기계로212번길 34","37528","포항 서숲 오토캠핑장","2024-10-29 08:57:54","I","2024-10-31 00:12:15","","398017.111497908","288674.690419182","자동차야영장업","","자연녹지지역","1","","","","","1","0","0","0","","","0","0","","0","0","","0","96.39","","0","","","","","","","0","","","","96",
"5","자동차야영장업","03_11_05_P","5020000","CDFI2262142019000001","2019-06-28","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 죽장면 가사리 404","경상북도 포항시 북구 죽장면 가사길 15","37503","에덴오토캠핑장","2025-03-21 10:17:53","U","2025-03-23 02:40:00","","393434.640275405","301258.585597728","자동차야영장업","","","0","","","현대해상화재보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","자동차야영장업","03_11_05_P","5020000","CDFI2262142016000001","2016-01-30","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 장기면 영암리 344-2","경상북도 포항시 남구 장기면 영암길 70","37945","백경오토캠핑장","2021-08-18 10:51:57","U","2021-08-20 02:40:00","","427908.884449026","270679.842786102","자동차야영장업","","관리지역","1","","","DB손해보험주식회사","단독주택","1","0","0","0","","","0","0","","0","0","","0","305.34","","0","","","","","","","0","","","","305",
"7","자동차야영장업","03_11_05_P","5020000","CDFI2262142017000001","2017-07-24","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 송라면 중산리 240-7","경상북도 포항시 북구 송라면 보경로 307","37509","보경사힐링캠핑장","2023-12-01 13:16:02","U","2023-12-03 02:40:00","","409621.078735257","306656.474862946","자동차야영장업","","관리지역","1","기타","","DB손해보험","사무실","1","0","0","0","","","0","0","","0","0","","0","29.25","","0","","","","","","","0","","","","29",
"8","자동차야영장업","03_11_05_P","5020000","CDFI2262142018000001","2018-05-25","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 장기면 두원리 81-1","경상북도 포항시 남구 장기면 동해안로 2784","37947","푸른고래 카라반 캠핑","2023-12-07 20:19:12","U","2023-12-09 02:40:00","","427454.237747596","263682.465926123","자동차야영장업","","관리지역","0","","","한화손해보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"9","자동차야영장업","03_11_05_P","5020000","CDFI2262142024000001","2024-02-16","","01","영업/정상","13","영업중","","","","","054-276-5588","","","경상북도 포항시 남구 장기면 신창리 304-29","경상북도 포항시 남구 장기면 동해안로 3450, 일원","37946","해송피크닉장","2025-01-23 16:30:04","U","2025-01-25 02:40:00","","427914.822477029","268356.965674357","자동차야영장업","","","0","","","NH농협금융","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"10","자동차야영장업","03_11_05_P","5050000","CDFI2262142013000001","2013-12-23","","03","폐업","03","폐업","2015-05-26","","","","054-775-8558","","780-832","경상북도 경주시 감포읍 오류리","경상북도 경주시 감포읍 감포로 382-7","780-832","오류캠핑장","2015-05-28 08:41:33","I","2018-08-31 23:59:59","","426609.673170588","260867.894301934","자동차야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
