"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","전문휴양업","03_07_10_P","5050000","CDFI2262101989000001","1989-12-30","","02","휴업","02","휴업","","2024-06-18","2025-06-17","","","","780-290","경상북도 경주시 신평동 719-70","경상북도 경주시 엑스포로 55-12 (신평동)","38116","신라 밀레니엄파크","2024-05-29 11:59:07","U","2024-05-31 02:40:00","","407429.947428169","261792.468889804","전문휴양업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2","전문휴양업","03_07_10_P","5050000","CDFI2262102016000001","2016-09-23","","01","영업/정상","13","영업중","","","","","054 760 0707","","","경상북도 경주시 안강읍 옥산리 949번지","경상북도 경주시 안강읍 낙산길 85","38000","옥산개발 주식회사","2018-05-01 13:22:02","I","2018-08-31 23:59:59","","395091.815160624","279497.374495702","전문휴양업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"3","전문휴양업","03_07_10_P","5050000","CDFI2262102015000001","2015-08-21","","01","영업/정상","13","영업중","","","","","054-740-0800","","","경상북도 경주시 양남면 신대리 산 307-6","경상북도 경주시 양남면 동남로 972 (우리골프클럽)","38221","(주)퍼블릭개발","2024-04-08 17:48:47","U","2024-04-10 02:40:00","","414914.752315746","244688.882519534","전문휴양업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4","전문휴양업","03_07_10_P","5050000","CDFI2262102015000002","2015-09-18","","01","영업/정상","13","영업중","","","","","054-777-7200","","","경상북도 경주시 북군동 185-1번지","경상북도 경주시 보문로 74-14 (북군동)","38117","주식회사 경주버드파크","2015-09-18 08:55:51","I","2018-08-31 23:59:59","","404364.360558322","263454.500102779","전문휴양업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5","전문휴양업","03_07_10_P","5060000","CDFI2262102022000001","2022-07-29","","01","영업/정상","13","영업중","","","","","054-434-7773","","","경상북도 김천시 부항면 두산리 121","경상북도 김천시 부항면 안간1길 700","39689","옥당걸숲속관광농원","2022-07-29 09:58:14","I","2022-07-31 00:22:29","","286118.362617826","278750.989124296","전문휴양업","","관리지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","전문휴양업","03_07_10_P","5090000","CDFI2262102011000001","2011-12-19","","01","영업/정상","13","영업중","","","","","054-604-1700","","750-804","경상북도 영주시 풍기읍 창락리 430","경상북도 영주시 풍기읍 죽령로 1400","36020","소백산풍기온천리조트","2024-05-09 11:13:47","U","2024-05-11 02:40:00","","331806.637746182","377337.786334852","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","3902.45","","0","","","","","","","3500000000","","","","3902",
"7","전문휴양업","03_07_10_P","5100000","CDFI2262102005000001","2005-02-22","","03","폐업","03","폐업","2021-10-05","","","","054)332-4141","","770-300","경상북도 영천시 서산동 산 123","경상북도 영천시 사일로 458-64 (서산동)","38821","(주)사일온천","2021-10-05 16:31:01","U","2021-10-07 02:40:00","","368678.919832643","276430.488685653","전문휴양업","","","4","","","","","3","1","0","0","","","0","0","","0","0","","0","4468.46","","0","","","","","","","200000000","","","","4468",
"8","전문휴양업","03_07_10_P","5110000","CDFI2262102022000001","2022-04-22","","01","영업/정상","13","영업중","","","","","054-450-2820","","","경상북도 상주시 모서면 호음리 669","경상북도 상주시 모서면 백화로 40","37276","(주)동승레저(뉴 스프링빌 II)","2022-04-22 14:07:44","I","2022-04-24 00:22:33","","278201.879125731","309536.970304214","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","7240000000","","","","0",
"9","전문휴양업","03_07_10_P","5120000","CDFI2262102007000001","2007-12-27","","01","영업/정상","13","영업중","","","","","","","745-812","경상북도 문경시 호계면 호계리 23번지","경상북도 문경시 호계면 상무로 377","","전통문화마을 성보촌","2007-12-27 11:17:59","I","2018-08-31 23:59:59","","306758.323386829","350039.772158627","전문휴양업","관광사업","관리지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","650000000","","","","",
"10","전문휴양업","03_07_10_P","5120000","CDFI2262102022000001","2022-12-05","","01","영업/정상","13","영업중","","","","","054-550-5230","","","경상북도 문경시 가은읍 완장리 산 65-1","경상북도 문경시 가은읍 용추길 31-35","36993","국립대야산자연휴양림","2023-03-03 08:51:44","U","2023-03-05 02:40:00","","285227.221914829","351193.512221913","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","3715.09","","0","","","","","","","0","","","","3715",
"11","전문휴양업","03_07_10_P","5170000","CDFI2262102022000001","2022-12-06","","01","영업/정상","13","영업중","","","","","054-682-9009","","","경상북도 영양군 수비면 신원리 산 26 검마산자연휴양림","경상북도 영양군 수비면 검마산길 191, 검마산자연휴양림","36524","국립검마산자연휴양림","2023-02-07 11:04:11","U","2023-02-09 02:40:00","","400541.399987945","363444.284669955","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"12","전문휴양업","03_07_10_P","5180000","CDFI2262102022000001","2022-12-01","","01","영업/정상","13","영업중","","","","","054-732-1607","","","경상북도 영덕군 병곡면 영리 산 214 칠보산","경상북도 영덕군 병곡면 칠보산길 587, 칠보산","36404","국립자연휴양림관리소 칠보산 자연휴양림","2024-01-25 10:22:51","U","2024-01-27 02:40:00","","411739.877511423","349521.289629165","전문휴양업","","","0","","","","","0","0","42","2873","","","0","0","","0","0","","0","2872.92","","0","","","","","","","0","","","","2873",
"13","전문휴양업","03_07_10_P","5190000","CDFI2262102023000001","2023-02-14","","01","영업/정상","13","영업중","","","","","054-373-1327","","","경상북도 청도군 운문면 신원리 산 29-6 운문산자연휴양림","경상북도 청도군 운문면 운문로 763, 운문산자연휴양림","38368","국립운문산자연휴양림","2023-02-14 09:13:06","I","2023-02-16 00:40:57","","381622.231029253","241285.072345924","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","138648","","0","","","","","","","0","","","","138648",
"14","전문휴양업","03_07_10_P","5200000","CDFI2262102025000001","2025-02-28","","01","영업/정상","13","영업중","","","","","054-956-7575","","","경상북도 고령군 대가야읍 내곡리 1085-2","경상북도 고령군 대가야읍 일량로 588","40143","고령컨트리클럽(주)","2025-02-28 11:09:45","I","2025-03-02 00:10:36","","317048.786941831","243228.182558263","전문휴양업","","관리지역","3","","","","","2","1","0","0","","","0","0","","0","0","","0","3026.26","","0","","","","","","","300000000","","","","3026",
"15","전문휴양업","03_07_10_P","5210000","CDFI2262102020000001","2020-01-21","","02","휴업","02","휴업","","2024-03-25","2024-12-31","","054-933-5755","","","경상북도 성주군 초전면 용봉리 940","경상북도 성주군 초전면 주천로 1027-96","40008","성주스파랜드","2024-03-25 17:15:53","U","2024-03-27 02:40:00","","313579.727170842","279808.6197126","전문휴양업","","관리지역","","","","","근린생활시설","","","","","","","","","","","","","","4132.02","","","","","","","","","1500000000","","","","4132",
"16","전문휴양업","03_07_10_P","5210000","CDFI2262102020000002","2020-11-30","","01","영업/정상","13","영업중","","","","","054-933-3456","","","경상북도 성주군 성주읍 예산리 678","경상북도 성주군 성주읍 성주순환로 95","40018","성주 별고을 관광온천","2020-11-30 11:45:39","I","2020-12-02 00:23:08","","315425.345767168","270244.858299473","전문휴양업","","자연녹지지역","5","","","","근린생활시설","4","1","","","","","","","","","","","","3888.3","","","","","","","","","30000000","","","","3888",
"17","전문휴양업","03_07_10_P","5220000","CDFI2262102014000001","2014-03-12","","01","영업/정상","13","영업중","","","","","054-975-7766","","718-845","경상북도 칠곡군 북삼읍 인평리 678-3번지","경상북도 칠곡군 북삼읍 인강5길 75","39810","북삼관광온천","2014-07-08 14:29:06","I","2018-08-31 23:59:59","","320744.86386836","285987.332143813","전문휴양업","","일반주거지역","4","","","","근린생활시설","4","1","","","","","","","","","","","","2057.9","","","","","","","","","","","","","2058",
"18","전문휴양업","03_07_10_P","5220000","CDFI2262102019000001","2019-05-15","","01","영업/정상","13","영업중","","","","","054-971-6363","","","경상북도 칠곡군 동명면 기성리 930번지","경상북도 칠곡군 동명면 기성5길 11-10","39855","휴온천","2020-01-14 15:16:13","I","2020-01-16 00:23:36","","343907.316687369","279051.844869104","전문휴양업","","관리지역","5","","","","","4","1","","3499","","","","","","","","","","3498.64","","","","","","","","","","","","","3499",
"19","전문휴양업","03_07_10_P","5220000","CDFI2262102018000001","2018-08-14","","01","영업/정상","13","영업중","","","","","054 971 9011","","","경상북도 칠곡군 왜관읍 봉계리 474-1번지","경상북도 칠곡군 왜관읍 봉계로 348","39870","오송관광농원","2018-08-14 17:47:36","I","2018-08-31 23:59:59","","330957.833036148","278439.427440346","전문휴양업","","","","","","","식품위생시설","","","","","","","","","","","","","","40832","","","","","","","","","","","","","40832",
"20","전문휴양업","03_07_10_P","5230000","CDFI2262102025000001","2025-03-18","","01","영업/정상","13","영업중","","","","","","","","경상북도 예천군 호명읍 황지리 73-19 골프장 클럽하우스","경상북도 예천군 호명읍 한맥골프장길 72, 골프장 클럽하우스","36847","한맥개발 주식회사","2025-03-18 13:45:56","I","2025-03-20 00:10:23","","335631.398522783","352003.646748938","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"21","전문휴양업","03_07_10_P","5240000","CDFI2262102022000001","2022-11-29","","01","영업/정상","13","영업중","","","","","054-672-1051","","","경상북도 봉화군 석포면 대현리 산 13-64 청옥산자연휴양림관리사무소","경상북도 봉화군 석포면 청옥로 1552-163, 청옥산자연휴양림관리사무소","36271","국립청옥산자연휴양림관리소","2023-02-02 08:54:33","U","2023-02-04 02:40:00","","377111.498545806","394457.203052255","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"22","전문휴양업","03_07_10_P","5250000","CDFI2262102022000001","2022-11-22","","01","영업/정상","13","영업중","","","","","054-783-3167","","","경상북도 울진군 금강송면 쌍전리 산 150-1 국립자연휴양림관리소통고산자연휴양림사무","경상북도 울진군 금강송면 불영계곡로 880, 국립자연휴양림관리소통고산자연휴양림사무","36300","국립통고산 자연휴양림","2023-01-29 09:07:06","U","2023-01-31 02:40:00","","395113.379113946","382209.067634724","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","128729","","0","","","","","","","0","","","","128729",
