"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","승려수","신도수","창립연대","유래연혁","지정취소","지정취소일자","지정취소사유","전통사찰명",
"1","전통사찰","03_07_11_P","5020000","CDFD1001","1988-07-21","","01","영업/정상","05","지정","","","","","292-2083","","","경상북도 포항시 남구 오천읍 항사리 34번지","경상북도 포항시 남구 오천읍 오어로 1","","오어사","2002-12-06 16:54:15","I","2018-08-31 23:59:59","","413730.905542135","272153.300092935","0","0","","","N","","","오어사",
"2","전통사찰","03_07_11_P","5020000","CDFD1002","1988-07-21","","01","영업/정상","05","지정","","","","","284-3402","","","경상북도 포항시 남구 동해면 금광리 641번지","","","몽운사","2002-12-06 16:54:35","I","2018-08-31 23:59:59","","421190.089616401","277016.130814961","0","0","","","N","","","몽운사",
"3","전통사찰","03_07_11_P","5020000","CDFD1003","1998-07-21","","01","영업/정상","05","지정","","","","","291-3007","","","경상북도 포항시 남구 동해면 중흥리 산 80번지","","","진불사","2012-01-16 15:54:28","I","2018-08-31 23:59:59","","426377.655816344","281767.787337847","0","0","","","N","","","진불사",
"4","전통사찰","03_07_11_P","5020000","CDFD1004","1988-07-21","","01","영업/정상","05","지정","","","","","291-3436","","","경상북도 포항시 남구 동해면 중산리 산 36-1번지","경상북도 포항시 남구 동해면 정동길 551-74","","일출선원","2002-12-06 16:55:39","I","2018-08-31 23:59:59","","424519.971055725","277967.921880175","0","0","","","N","","","일출선원",
"5","전통사찰","03_07_11_P","5020000","CDFD1005","1988-07-21","","01","영업/정상","05","지정","","","","","291-5540","","","경상북도 포항시 남구 동해면 공당리 791번지","경상북도 포항시 남구 동해면 정동길417번길 97-37","","선암사","2002-12-06 16:55:57","I","2018-08-31 23:59:59","","424234.509878012","276949.847800224","0","0","","","N","","","선암사",
"6","전통사찰","03_07_11_P","5020000","CDFD1006","1989-07-21","","01","영업/정상","05","지정","","","","","276-0371","","","경상북도 포항시 남구 장기면 방산리 887번지","경상북도 포항시 남구 장기면 방산로 526","","고석사","2002-12-06 16:56:17","I","2018-08-31 23:59:59","","422334.375856734","271125.364365277","0","0","","","N","","","고석사",
"7","전통사찰","03_07_11_P","5020000","CDFD1007","1988-07-21","","01","영업/정상","05","지정","","","","","284-8924","","","경상북도 포항시 남구 호미곶면 강사리 1066번지","경상북도 포항시 남구 호미곶면 명월길 304-16","","해봉사","2012-08-10 17:02:02","I","2018-08-31 23:59:59","","430111.828866599","284241.476430015","0","0","","","N","","","해봉사",
"8","전통사찰","03_07_11_P","5020000","CDFD1008","1988-07-21","","01","영업/정상","05","지정","","","","","261-6446","","","경상북도 포항시 북구 흥해읍 학천리 796번지","경상북도 포항시 북구 흥해읍 도음로 476","","천곡사","2002-12-06 16:57:08","I","2018-08-31 23:59:59","","405915.367227292","289100.669715482","0","0","","","N","","","천곡사",
"9","전통사찰","03_07_11_P","5020000","CDFD1009","1998-07-21","","01","영업/정상","05","지정","","","","","2610331","","","경상북도 포항시 북구 흥해읍 옥성리 131번지","경상북도 포항시 북구 흥해읍 동해대로 1548-4","","임허사","2002-12-06 16:35:01","I","2018-08-31 23:59:59","","410965.59115035","292449.880574403","0","0","","","N","","","임허사",
"10","전통사찰","03_07_11_P","5020000","CDFD1010","1988-07-21","","01","영업/정상","05","지정","","","","","243-0178","","","경상북도 포항시 북구 신광면 상읍리 875번지","경상북도 포항시 북구 신광면 상읍길 290","","법광사","2002-12-06 16:57:51","I","2018-08-31 23:59:59","","401799.161881153","296332.042794218","0","0","","","N","","","법광사",
"11","전통사찰","03_07_11_P","5020000","CDFD1011","1988-07-21","","01","영업/정상","05","지정","","","","","262-1117","","","경상북도 포항시 북구 송라면 중산리 622번지","경상북도 포항시 북구 송라면 보경로 523","791-860","보경사","2011-10-30 13:06:38","I","2018-08-31 23:59:59","","408273.342109916","308216.367906552","0","0","","","N","","","보경사",
"12","전통사찰","03_07_11_P","5020000","CDFD1012","1988-07-21","","01","영업/정상","05","지정","","","","","243-1751","","","경상북도 포항시 북구 기계면 문성리 511-1번지","경상북도 포항시 북구 기계면 새마을발상지길 212","","무학사","2002-12-06 16:58:36","I","2018-08-31 23:59:59","","396912.113080425","286792.321861424","0","0","","","N","","","무학사",
"13","전통사찰","03_07_11_P","5020000","CDFD1013","1988-07-21","","01","영업/정상","05","지정","","","","","054-262-1117","","","경상북도 포항시 북구 송라면 중산리","","","보경사","2014-01-15 14:18:43","I","2018-08-31 23:59:59","","","","0","0","","","N","","","보경사",
"14","전통사찰","03_07_11_P","5050000","CDFD1001","1962-10-30","","01","영업/정상","05","지정","","","","","054-746-9911~3","","","경상북도 경주시 진현동 15번지","","","불국사","2003-06-19 09:20:59","I","2018-10-11 15:46:28","","","","0","0","","","N","","","불국사",
"15","전통사찰","03_07_11_P","5050000","CDFD1002","1962-10-30","","01","영업/정상","05","지정","","","","","054-746-9933","","","경상북도 경주시 진현동 999번지","","","석굴암","2003-06-19 09:24:21","I","2018-10-11 15:46:28","","412399.897524027","257534.46155688","0","0","","","N","","","석굴암",
"16","전통사찰","03_07_11_P","5050000","CDFD1003","1962-10-10","","01","영업/정상","05","지정","","","","","054-742-9922","","","경상북도 경주시 구황동 312번지","","","분황사","2003-06-19 09:27:42","I","2018-10-11 15:46:28","","401750.732304195","262369.833796526","0","0","","","N","","","분황사",
"17","전통사찰","03_07_11_P","5050000","CDFD1005","1962-10-20","","01","영업/정상","05","지정","","","","","054-748-0794","","","경상북도 경주시 배반동 산 66번지","","","보리사","2003-06-19 10:01:48","I","2018-10-11 15:46:28","","","","0","0","","","N","","","보리사",
"18","전통사찰","03_07_11_P","5050000","CDFD1006","1962-10-15","","01","영업/정상","05","지정","","","","","054-745-7579","","","경상북도 경주시 배동 490번지","","","망월사","2003-06-19 10:03:55","I","2018-10-11 15:46:28","","399727.055340149","257949.204226472","0","0","","","N","","","망월사",
"19","전통사찰","03_07_11_P","5050000","CDFD1007","1988-07-21","","01","영업/정상","05","지정","","","","","054-744-2292","","","경상북도 경주시 양북면 호암리 419번지","","","기림사","2003-06-19 10:07:13","I","2018-10-11 15:46:28","","","","0","0","","","N","","","기림사",
"20","전통사찰","03_07_11_P","5050000","CDFD1008","1988-07-21","","01","영업/정상","05","지정","","","","","054-744-7314","","","경상북도 경주시 외동읍 활성리 378번지","","","연지암","2003-06-19 10:09:13","I","2018-10-11 15:46:28","","410486.437920908","252882.988504388","0","0","","","N","","","연지암",
