연번,시군명,사업장명,사업장 소재지,주요품목,위도,경도
1,영천시,과미유통영농조합법인,경상북도 영천시 임고면 평천리 355-10,포도,36.044028,128.984863
2,영천시,청우영농조합법인,경상북도 영천시 청통면 청통초등길  8번지,저장양파,35.991995,128.824302
3,영천시,동산영농조합법인,경상북도 영천시 금호읍 거여로  140,사과,36.019259,128.834574
4,영천시,삼진영농조합법인,경상북도 영천시 신녕면 관기길  222,저장양파,36.042112,128.795434
5,영천시,영천친환경농업영농조합법인,경상북도 영천시 화남면 신선로  10-17,사과,36.029112,128.932807
6,영천시,천지유통영농조합법인,경상북도 영천시 금호읍 가라골1길  72-4,복숭아,35.922312,128.862553
7,영천시,화성영농조합법인,경상북도 영천시 임고면 덕연길 36,감자,36.050012,128.989397
8,영천시,영천유기촌영농조합법인,경상북도 영천시 청통면 청통로  127번지,마늘,35.99294,128.876063
9,영천시,영천화남농협,경상북도 영천시 화남면 천문로 1587,포도,36.036237,128.992309
10,영천시,대구경북능금농협,경상북도 영천시 화남면 천문로 1669,사과,36.0757654,128.906771
11,영천시,금호농협,경상북도 영천시 금호읍 금창로 74,복숭아,35.924768,128.876568
