발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2022,2022-01-01 10:00,주,토,1,0,0,0,0,전남,순천시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,교량위,승용차,없음,1000059,1660526,127.5006461,34.9395644
2022,2022-01-01 14:00,주,토,1,0,0,0,0,전북,전주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,승용차,965929,1760951,127.1227096,35.84448986
2022,2022-01-01 17:00,주,토,1,0,0,0,0,경기,연천군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,966667,2021002,127.1193649,38.18866892
2022,2022-01-01 20:00,야,토,1,0,0,0,0,부산,기장군,차대차,기타,기타,안전운전 의무 불이행,단일로,고가도로위,승용차,승용차,1156990,1697307,129.2257735,35.25892007
2022,2022-01-02 6:00,주,일,1,0,0,0,0,서울,서대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,950217,1953529,126.9361824,37.57980009
2022,2022-01-02 20:00,야,일,1,0,0,0,0,부산,기장군,차대차,측면충돌,측면충돌,안전거리 미확보,단일로,기타단일로,승용차,이륜차,1152580,1704921,129.1787304,35.32822763
2022,2022-01-02 21:00,야,일,1,0,0,0,0,인천,미추홀구,차대사람,차도통행중,차도통행중,기타,단일로,기타단일로,승용차,보행자,927256,1940265,126.6774716,37.45872717
2022,2022-01-03 4:00,야,월,1,1,0,1,0,경기,성남시,차대차,추돌,추돌,안전운전 의무 불이행,기타,기타,화물차,화물차,968126,1936615,127.1397395,37.42814058
2022,2022-01-03 15:00,주,월,1,0,0,0,0,충북,청주시,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,승합차,보행자,1000319,1848214,127.5035681,36.631809
2022,2022-01-03 15:00,주,월,1,1,1,0,0,경남,고성군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,1076602,1669205,128.3396009,35.01492294
2022,2022-01-03 16:00,주,월,1,0,0,0,0,경북,울진군,차량단독,전도,전도,기타,단일로,기타단일로,원동기장치자전거,없음,1176220,1859130,129.4730512,36.71386019
2022,2022-01-03 18:00,야,월,1,0,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,947053,1945537,126.900927,37.50759076
2022,2022-01-03 18:00,야,월,1,0,0,0,0,경기,시흥시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,939422,1936199,126.8153587,37.42295724
2022,2022-01-03 22:00,야,월,1,0,0,0,0,강원,강릉시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1123289,1973811,128.899579,37.75564526
2022,2022-01-04 15:00,주,화,1,0,0,0,0,전남,완도군,차량단독,공작물충돌,공작물충돌,기타,단일로,기타단일로,화물차,없음,937532,1601168,126.8203417,34.40239027
2022,2022-01-04 16:00,주,화,1,1,0,1,0,경기,양주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,951249,1969470,126.9468051,37.72353179
2022,2022-01-04 17:00,주,화,1,0,0,0,0,부산,서구,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,1138164,1679713,129.0159422,35.10310224
2022,2022-01-04 17:00,주,화,1,0,0,0,0,부산,부산진구,차대사람,횡단중,횡단중,기타,교차로,교차로내,이륜차,보행자,1138903,1686236,129.0251442,35.1617992
2022,2022-01-04 19:00,야,화,1,2,2,0,0,경기,파주시,차대차,정면충돌,정면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,928814,1980749,126.69114,37.82371271
2022,2022-01-04 21:00,야,화,1,0,0,0,0,부산,연제구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,기타,1142464,1689599,129.0648119,35.19161415
2022,2022-01-05 4:00,야,수,1,0,0,0,0,서울,동작구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,953351,1942887,126.9723513,37.48404544
2022,2022-01-05 4:00,야,수,2,0,0,0,0,경기,의왕시,차대차,추돌,추돌,기타,단일로,기타단일로,승용차,승합차,953259,1926466,126.9723499,37.33603141
2022,2022-01-05 6:00,주,수,1,0,0,0,0,서울,동작구,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,건설기계,보행자,954021,1942097,126.9799788,37.47695852
2022,2022-01-05 21:00,야,수,1,2,0,2,0,인천,강화군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,승합차,912273,1971632,126.5043173,37.74011097
2022,2022-01-05 22:00,야,수,1,2,0,2,0,부산,동구,차대차,추돌,추돌,안전거리 미확보,기타,기타,승용차,승용차,1140785,1682168,129.0451085,35.12486862
2022,2022-01-05 22:00,야,수,1,0,0,0,0,강원,횡성군,차대사람,차도통행중,차도통행중,기타,단일로,기타단일로,승용차,보행자,1057694,1934628,128.1519261,37.40898176
2022,2022-01-06 1:00,야,목,1,0,0,0,0,경기,포천시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,968343,1980407,127.1402951,37.82285835
2022,2022-01-06 8:00,주,목,1,2,2,0,0,경북,울진군,차대사람,길가장자리구역통행중,길가장자리구역통행중,기타,단일로,기타단일로,승용차,보행자,1165347,1859510,129.3514531,36.71923938
2022,2022-01-06 15:00,주,목,1,0,0,0,0,경남,창녕군,차대차,기타,기타,신호위반,교차로,교차로내,이륜차,승용차,1087876,1733016,128.4699979,35.58930643
2022,2022-01-06 18:00,야,목,1,0,0,0,0,경북,의성군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,1108207,1826779,128.7071966,36.43246593
2022,2022-01-06 20:00,야,목,1,0,0,0,0,경기,부천시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,이륜차,보행자,936796,1944115,126.7850032,37.49412877
2022,2022-01-06 21:00,야,목,1,0,0,0,0,서울,성동구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,이륜차,보행자,957084,1949762,127.0141724,37.54619303
2022,2022-01-06 22:00,야,목,1,1,1,0,0,전남,신안군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,876531,1629723,126.1526254,34.65434586
2022,2022-01-07 1:00,야,금,2,0,0,0,0,경남,창원시(통합),차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,1112066,1680264,128.7297337,35.11131189
2022,2022-01-07 6:00,주,금,1,0,0,0,0,광주,서구,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,자전거,승용차,944016,1685281,126.8852836,35.16122973
2022,2022-01-07 14:00,주,금,1,2,1,1,0,경북,안동시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,1130268,1829048,128.9536331,36.45017311
2022,2022-01-07 14:00,주,금,1,0,0,0,0,경남,거제시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,1092809,1657465,128.5159087,34.90771548
2022,2022-01-07 21:00,야,금,1,0,0,0,0,대구,달서구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승용차,보행자,1095479,1760642,128.5571938,35.83764583
2022,2022-01-08 5:00,야,토,1,0,0,0,0,경기,용인시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,966765,1921335,127.1250427,37.29036355
2022,2022-01-08 6:00,주,토,1,1,0,1,0,경북,영주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,1105052,1863859,128.6770718,36.76702378
2022,2022-01-08 6:00,주,토,2,2,0,2,0,경북,경산시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,1111482,1749959,128.7328649,35.73965827
2022,2022-01-08 10:00,주,토,1,0,0,0,0,충남,보령시,차대차,측면충돌,측면충돌,기타,교차로,교차로내,원동기장치자전거,승합차,918514,1828106,126.5907336,36.44706978
2022,2022-01-08 18:00,야,토,1,0,0,0,0,경북,영양군,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,1142138,1849161,129.0897511,36.62973834
2022,2022-01-08 20:00,야,토,3,1,1,0,0,강원,화천군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1013311,2012964,127.6518515,38.11674394
2022,2022-01-08 21:00,야,토,1,2,2,0,0,강원,원주시,차대차,추돌,추돌,기타,단일로,기타단일로,승용차,승합차,1038962,1924874,127.9397534,37.32204071
2022,2022-01-09 1:00,야,일,1,0,0,0,0,경남,창원시(통합),차량단독,공작물충돌,공작물충돌,기타,단일로,기타단일로,승용차,없음,1116042,1683273,128.7737765,35.13798769
2022,2022-01-09 5:00,야,일,1,5,0,5,0,서울,서대문구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,948019,1952545,126.91136,37.5708097
2022,2022-01-09 13:00,주,일,1,0,0,0,0,경북,문경시,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,1051357,1861025,128.0752888,36.74590839
2022,2022-01-09 18:00,야,일,1,0,0,0,0,경기,평택시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,960301,1885219,127.054032,36.96456186
2022,2022-01-09 18:00,야,일,1,1,0,1,0,경기,의정부시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내,승용차,이륜차,963313,1970270,127.0836553,37.73130513
2022,2022-01-09 21:00,야,일,1,6,0,6,0,경기,고양시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,947237,1966149,126.9015224,37.69337769
